Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
14-02-2018,85.46,87.85,85.36,87.68,34960900,0.42,0
15-02-2018,88.07,89.52,87.5,89.47,27823900,0,0
16-02-2018,89.26,90.28,88.64,88.83,30596900,0,0
20-02-2018,88.33,89.85,87.87,89.52,30911700,0,0
21-02-2018,89.78,90.14,88.34,88.34,26922500,0,0
22-02-2018,88.88,89.53,88.21,88.57,24392800,0,0
23-02-2018,90.37,90.83,89.18,90.82,26329200,0,0
26-02-2018,91.15,92.16,91,92.13,30199800,0,0
27-02-2018,92.44,92.54,90.95,90.95,25869100,0,0
28-02-2018,91.57,92.41,90.4,90.54,31167300,0,0
01-03-2018,90.75,91.31,88.67,89.65,37135600,0,0
02-03-2018,88.42,89.94,87.73,89.84,32830400,0,0
05-03-2018,89.16,91.02,89.08,90.41,23901600,0,0
06-03-2018,91.09,91.23,89.74,90.1,22175800,0,0
07-03-2018,89.95,90.7,89.24,90.62,26716100,0,0
08-03-2018,91.02,91.82,90.54,91.18,25887800,0,0
09-03-2018,92.01,93.21,91.73,93.21,36937300,0,0
12-03-2018,93.17,93.86,92.73,93.43,26073700,0,0
13-03-2018,93.66,93.89,90.73,91.16,35387800,0,0
14-03-2018,91.84,92.12,90.28,90.62,32132000,0,0
15-03-2018,90.31,91.32,89.63,90.93,27611000,0,0
16-03-2018,91.42,92.09,90.68,91.34,49081300,0,0
19-03-2018,90.51,90.66,88.93,89.69,33344100,0,0
20-03-2018,89.84,90.54,89.79,89.92,23075200,0,0
21-03-2018,89.73,90.81,89.03,89.29,24457100,0,0
22-03-2018,88.12,88.59,86.57,86.69,38604700,0,0
23-03-2018,86.41,87.34,84.08,84.17,44068900,0,0
26-03-2018,87.49,90.76,87.28,90.55,56396800,0,0
27-03-2018,91.67,91.86,85.46,86.39,56569000,0,0
28-03-2018,86.72,88.09,85.81,86.31,52501100,0,0
29-03-2018,87.07,89.11,85.35,88.12,45867500,0,0
02-04-2018,87.35,87.75,84.49,85.47,48515400,0,0
03-04-2018,86.49,86.95,84.86,86.62,37213800,0,0
04-04-2018,84.82,89.56,84.71,89.15,35560000,0,0
05-04-2018,89.25,89.86,88.25,89.2,29771900,0,0
06-04-2018,88.34,89.27,86.4,87.12,38026000,0,0
09-04-2018,87.9,89.96,87.5,87.64,31533900,0,0
10-04-2018,89.21,90.06,88.48,89.68,26812000,0,0
11-04-2018,88.84,90.07,88.33,88.69,24872100,0,0
12-04-2018,89.24,90.91,89.24,90.35,26758900,0,0
13-04-2018,90.81,90.93,89.25,89.87,23346100,0,0
16-04-2018,90.83,91.4,90.2,90.92,20288100,0,0
17-04-2018,91.73,93.21,91.61,92.76,26771000,0,0
18-04-2018,92.9,93.39,92.23,93.12,21043300,0,0
19-04-2018,93.12,93.72,92.05,92.8,23552500,0,0
20-04-2018,92.6,92.8,90.81,91.73,31154400,0,0
23-04-2018,92.44,92.97,91.37,92.06,22331800,0,0
24-04-2018,92.92,93.14,89.22,89.91,34524800,0,0
25-04-2018,90.08,90.08,87.17,89.13,33729300,0,0
26-04-2018,90.33,91.87,89.89,91.01,42529000,0,0
27-04-2018,94.24,94.53,90.67,92.52,48272800,0,0
30-04-2018,93.01,93.08,89.94,90.3,41523600,0,0
01-05-2018,90,92.01,89.59,91.73,31408900,0,0
02-05-2018,91.72,91.89,89.98,90.29,27471000,0,0
03-05-2018,89.76,91.66,89.26,90.83,31142500,0,0
04-05-2018,90.1,92.08,89.72,91.88,22531300,0,0
07-05-2018,91.89,93.38,91.82,92.9,24242000,0,0
08-05-2018,92.55,92.85,91.78,92.51,23484600,0,0
09-05-2018,92.7,93.63,91.77,93.6,27327400,0,0
10-05-2018,94.1,94.57,93.7,94.54,22388100,0,0
11-05-2018,94.43,94.5,93.7,94.33,16778300,0,0
14-05-2018,94.54,95.29,93.96,94.65,19454100,0,0
15-05-2018,93.89,94.48,93.02,93.97,24594000,0,0
16-05-2018,94.41,94.45,93.69,94.21,17384700,0.42,0
17-05-2018,93.83,94.59,92.93,93.27,17246700,0,0
18-05-2018,93.1,93.99,93.1,93.44,17865800,0,0
21-05-2018,94.06,95.04,93.87,94.64,19422500,0,0
22-05-2018,94.72,95.2,94.26,94.55,15441200,0,0
23-05-2018,93.78,95.74,93.4,95.67,21251200,0,0
24-05-2018,95.74,95.94,93.88,95.33,26649300,0,0
25-05-2018,95.32,95.98,94.9,95.38,18363900,0,0
29-05-2018,94.88,95.89,94.29,95.04,28671000,0,0
30-05-2018,95.33,96.24,94.94,95.95,22158500,0,0
31-05-2018,96.28,96.96,95.62,95.85,34140900,0,0
01-06-2018,96.27,97.81,96.17,97.74,28655600,0,0
04-06-2018,98.19,98.78,97.8,98.59,27281600,0,0
05-06-2018,98.91,99.23,98.46,99.1,23514400,0,0
06-06-2018,99.38,99.49,98.81,99.39,21122900,0,0
07-06-2018,99.54,99.58,97.34,97.82,28232200,0,0
08-06-2018,98.03,98.86,97.5,98.55,22165100,0,0
11-06-2018,97.95,98.51,97.62,97.99,23490900,0,0
12-06-2018,98.04,98.38,97.7,98.24,18325200,0,0
13-06-2018,98.64,98.92,97.51,97.8,29492900,0,0
14-06-2018,98.57,98.94,97.94,98.35,25691800,0,0
15-06-2018,98.44,98.46,97.04,97.1,65738600,0,0
18-06-2018,96.98,98.05,96.41,97.81,23586000,0,0
19-06-2018,96.63,97.94,96.49,97.81,28653100,0,0
20-06-2018,98.3,99.42,98.06,98.78,26180800,0,0
21-06-2018,98.99,99.36,97.82,98.08,23198200,0,0
22-06-2018,97.37,97.72,96.61,97.37,38923100,0,0
25-06-2018,96.97,97.08,94.35,95.41,35433300,0,0
26-06-2018,95.83,97.05,95.76,96.08,26897200,0,0
27-06-2018,96.56,96.99,94.45,94.59,31298400,0,0
28-06-2018,94.43,96.11,94.31,95.64,26650700,0,0
29-06-2018,95.93,96.88,95.35,95.62,28053200,0,0
02-07-2018,95.13,97.03,95.03,96.98,19564500,0,0
03-07-2018,97.44,97.58,95.94,96.05,14670300,0,0
05-07-2018,96.49,96.89,96.03,96.74,18977400,0,0
06-07-2018,96.86,98.36,96.65,98.1,19234600,0,0
09-07-2018,98.57,99.15,98.18,98.77,18212000,0,0
10-07-2018,98.91,99.41,98.78,99.03,19293100,0,0
11-07-2018,98.09,99.24,98.04,98.89,19644600,0,0
12-07-2018,99.66,101.25,99.62,101.03,24335900,0,0
13-07-2018,101.21,102.4,100.94,102.24,24635200,0,0
16-07-2018,102.21,102.62,101.35,101.73,21786900,0,0
17-07-2018,101.44,103.27,101.16,102.74,25901700,0,0
18-07-2018,102.73,102.84,101.55,101.94,29493900,0,0
19-07-2018,101.75,102.12,100.74,101.24,40171600,0,0
20-07-2018,104.81,104.92,102.87,103.05,56004000,0,0
23-07-2018,103.08,104.87,102.92,104.7,29707000,0,0
24-07-2018,105.28,105.52,104.01,104.4,26316600,0,0
25-07-2018,104.69,107.78,104.34,107.47,30702100,0,0
26-07-2018,107.39,107.64,106.18,106.3,31372100,0,0
27-07-2018,106.84,106.84,102.93,104.42,37005300,0,0
30-07-2018,103.94,104.27,101.59,102.18,34668300,0,0
31-07-2018,103.26,103.49,102.19,102.87,27655200,0,0
01-08-2018,102.82,103.23,102.23,103.06,23628700,0,0
02-08-2018,102.21,104.82,101.66,104.31,26104300,0,0
03-08-2018,104.54,104.78,103.58,104.77,18659600,0,0
06-08-2018,104.85,105.14,104.3,104.86,20265900,0,0
07-08-2018,105.27,105.8,104.89,105.58,16080200,0,0
08-08-2018,106.02,106.43,105.47,106.17,15487500,0,0
09-08-2018,106.39,106.82,106.28,106.35,13677200,0,0
10-08-2018,106.11,106.37,105.1,105.7,18183700,0,0
13-08-2018,105.93,106.26,104.83,104.93,18472500,0,0
14-08-2018,105.27,106.43,104.77,106.24,16788300,0,0
15-08-2018,105.61,106.1,103.98,104.8,29982800,0.42,0
16-08-2018,105.42,105.97,104.45,104.78,21384300,0,0
17-08-2018,104.51,105.03,103.86,104.72,18061500,0,0
20-08-2018,104.66,105.03,103.65,104.03,17914200,0,0
21-08-2018,104.08,104.5,103.04,103.17,22881900,0,0
22-08-2018,103.04,104.49,102.97,104.22,18000600,0,0
23-08-2018,104.3,105.31,104.03,104.7,18167700,0,0
24-08-2018,104.81,105.68,104.7,105.52,17234000,0,0
27-08-2018,106.37,106.73,105.63,106.69,19662300,0,0
28-08-2018,107.02,107.57,106.87,107.33,19151500,0,0
29-08-2018,107.52,109.06,107.34,109.05,20818000,0,0
30-08-2018,108.7,109.62,108.48,108.98,22798700,0,0
31-08-2018,108.72,109.79,108.56,109.35,23222700,0,0
04-09-2018,107.91,108.99,107.29,108.74,22634600,0,0
05-09-2018,108.06,108.46,105.23,105.61,32872400,0,0
06-09-2018,105.38,106.1,104.66,105.85,23477600,0,0
07-09-2018,105.36,105.83,104.38,105.34,22498600,0,0
10-09-2018,105.95,106.73,105.48,106.48,20727900,0,0
11-09-2018,106.01,108.63,106,108.29,24301800,0,0
12-09-2018,108.47,108.88,107.58,108.74,18891100,0,0
13-09-2018,109.14,110.71,109.14,109.91,26055600,0,0
14-09-2018,110.35,110.71,109.45,110.36,19122300,0,0
17-09-2018,110.67,110.68,108.89,109.16,20736500,0,0
18-09-2018,109.21,110.68,108.75,110.2,22170900,0,0
19-09-2018,110.05,110.31,108.09,108.73,21728400,0,0
20-09-2018,109.3,110.78,108.96,110.55,23714500,0,0
21-09-2018,110.97,112.23,110.5,111.23,71229700,0,0
24-09-2018,110.03,111.85,109.24,111.63,27334500,0,0
25-09-2018,111.75,112.04,110.73,111.41,22668000,0,0
26-09-2018,111.43,112,110.72,110.95,19352000,0,0
27-09-2018,111.73,111.86,111.17,111.37,19091300,0,0
28-09-2018,111.16,111.53,110.66,111.33,21647800,0,0
01-10-2018,111.7,112.61,111.68,112.54,18883100,0,0
02-10-2018,112.24,112.76,111.4,112.09,20787200,0,0
03-10-2018,112.36,113.1,111.88,112.11,16648000,0,0
04-10-2018,111.57,111.71,108.67,109.8,34821700,0,0
05-10-2018,109.64,110.17,107.7,109.15,29068900,0,0
08-10-2018,108.7,109.06,106.44,107.91,29640600,0,0
09-10-2018,108.19,110.08,107.86,109.28,26198600,0,0
10-10-2018,108.29,108.54,102.98,103.34,61376300,0,0
11-10-2018,102.55,106.04,101.43,103.1,63904300,0,0
12-10-2018,106.12,108.29,104.28,106.66,47742100,0,0
15-10-2018,106.02,106.57,104.11,104.74,32068100,0,0
16-10-2018,106.63,108.45,106.06,108.05,31610200,0,0
17-10-2018,108.71,108.84,106.64,107.77,26548200,0,0
18-10-2018,107.18,107.6,104.97,105.62,32506200,0,0
19-10-2018,106.04,107.92,105.34,105.77,32785500,0,0
22-10-2018,106.42,107.6,105.37,106.72,26545600,0,0
23-10-2018,104.91,106.08,102.32,105.23,43770400,0,0
24-10-2018,105.53,105.61,98.89,99.6,63897800,0,0
